text,ids
"No compre una maquina Nespresso a menos que pueda comprar capsulas compatibles que no sean de marca en Coles o Woolies. ¡Pedi vainas el 10 de NOVIEMBRE! de Nespresso y todavia no los he recibido a pesar de numerosos correos electronicos. llamadas telefonicas. etc. Incluso presente una queja formal y su respuesta fue decirme que llamara al mensajero. Se que suceden cosas. PERO este pedido se realizo hace casi seis semanas y mi oficina se ha quedado sin modulos durante 4 semanas. La maquina funciona bien. pero esta ahi sin usar ya que no hay capsulas para colocarla. Y las capsulas no estan disponibles en productos sin marca en coles/woolworths. Esta es sin duda una de las peores experiencias de servicio al cliente que he tenido. La actitud de Nespresso en la practica parece ser ""no podria importarnos menos"".",10
Esta calificacion se refiere al soporte tecnico/al cliente. Tuve que hacer 4 llamadas para arreglar la reparacion de mi maquina (aun en garantia). Me seguian diciendo que me enviaban un correo electronico. pero nunca llego (3 veces). Los operadores telefonicos de atencion al cliente (parecian subcontratados pero no estaban seguros de en que pais) no tenian la informacion adecuada sobre como gestionar mi caso. No recomendaria esta empresa en terminos de soporte post-compra. Horrible,11
En vista de todas las criticas tan negativas que he leido. tengo que decir que mi experiencia ha sido buena. Mi hija me compro una nueva maquina Creatista de Harvey Norman. que tenia una oferta especial que incluia $60.00 en capsulas gratis. Registre mi maquina en linea y espere a que apareciera el credito de $60.00 en mi cuenta. Despues de una semana. llame y me dijeron que lo habian arreglado y que le dieran unos dias. Nada . . Asi que ayer fui a la cafeteria y me trataron con mucha amabilidad: me prepare cafe mientras esperaba que se resolviera el problema. ¡Ellos tambien estaban ocupados siendo sabado! Luego dijeron que todo estaba listo y que podia pedir mis $60.00 + Recibi 2 hermosas tazas de vidrio con cucharas y una manga de cafe gratis. El asistente estaba muy bien informado y paso al menos 20 minutos conmigo ayudandome a elegir. Me fui sintiendome mimado y totalmente satisfecho con mi experiencia. Ahora a la maquina. . . ¡Me encanta. me encanta! ¡Solo tiene 5 semanas pero es increible y compre una garantia adicional. asi que no estoy demasiado preocupado!,12
La entrega de Zoom to you no se realiza dentro del plazo y llega tres dias despues. No vale nueve dolares para que lo entreguen en tres horas y lo entregan dias despues. ¡Australia Post Express Post es mas rapido que esto! Publicidad falsa. deberian eliminarla de sus opciones de entrega en su app.,13
"Si pudiera dar una resena de cero estrellas. lo haria. Los ""especialistas en cafe"" no tienen habilidades de servicio al cliente y Kiki incluso me cuelga. Obviamente. los gerentes son demasiado importantes para hablar con simples clientes. incluso con clientes a largo plazo. Si bien me gustan las capsulas de cafe. nunca volvere a comprar productos Nestle/Nespresso. Estoy absolutamente disgustado con el trato que recibi por algo simple que podria haberse resuelto tan facilmente.",14
Queria pedir un batidor de 10 dolares para el espumador de leche. Si hago el pedido en linea. tengo que pagar $9 de envio (casi tanto como la pieza). El sitio web de Nespresso indica que puedo realizar pedidos en linea y recibirlos en mi boutique Nespresso local. Genial. pense. ¡Equivocado! Esto es solo para las maquinas en si. no para repuestos. ¿Por que no tendrian el mismo servicio de repuestos? Llame y llame a alguien del extranjero que no tenia ni idea y no me ayudo. Realmente mal servicio al cliente.,15
"Nespresso no cumplira con sus propios Terminos y condiciones. La suscripcion de cafe todavia esta disponible en su propio sitio web. aunque se niegan a respetar sus propios terminos y condiciones. Su respuesta fue: ""Los Terminos y condiciones eran incorrectos y le agradecemos que se haya tomado el tiempo para hacernoslo saber. Esto se transmitio a Administracion y Comercio electronico y esta en proceso de actualizacion. Saben que estan equivocados y simplemente enganar al consumidor.",16
Absoluta basura. La maquina duro 6 meses. pero no puede regresar al taller. Tuve que pasar mucho tiempo solucionando problemas con el telefono. solo para luego tener que enviarlo para reemplazarlo o repararlo. Pase lo que pase. vendere la maquina reemplazada o reparada y nunca volvere a tratar con Nespresso. Maquina de basura y servicio al cliente de basura.,17
Lo unico que puedo decir es que estoy de acuerdo. otros que el servicio en la tienda es terrible. Warringah Mall solia ser atendido por personal amable y servicial. Ayer atendido por alguien con acento norteamericano a quien no le importaba si se compraba cafe o no. Nespresso. hay otros 'jugadores' en el mercado ahora. tal vez deberias intentar mejorar tu juego para competir con las variedades de los supermercados (incluida tu 'sub' etiqueta Starbucks. ¿Por que ir a una tienda donde el personal es desagradable cuando puedes comprar Nespresso Starbucks? del supermercado???,18
Las maquinas Nespresso no valen nada. la mia empezo a gotear por debajo cuando la arreglaron en garantia. Seis meses despues. lo vuelve a hacer. pero ahora no esta en garantia. por lo que no lo cubrira. ¿No deberia cubrirse esa parte? Sucede lo mismo... nunca mas recuperare mi dinero.,19
"Tengo la maquina de cafe en capsulas Nespresso original que salio hace unos 10 anos y compre 2 mini maquinas Nespresso mas. BEC220BLK. Constantemente. sin fallar. compro alrededor de 200 capsulas cada 2 meses durante los ultimos 3 anos. Una de mis maquinas anteriores EN 120.M tiene fugas y se que es un anillo 0 de goma desgastado. Esta junta torica esta ubicada en la parte superior donde la dosis de cafe hace contacto con el disco perforado. Probe con proveedores de repuestos del mercado. pero sin exito. Luego hable con el centro de llamadas de Nespresso y el personal me dirigio al sitio web de Nespresso Australia. al ""Chat Now"". No hay nadie en Chat Now. ya que cada pregunta se responde automaticamente en una fraccion de segundo. Es extremadamente frustrante tratar con el personal del centro de llamadas de Nespresso. ubicado en el extranjero.",20
Compre una maquina nueva y opte por el cafe especial; Rellenaron la inscripcion y el pedido de cafe y tuve que volver a la tienda. Se arreglo. se hizo el pedido y un mes despues todavia no tengo mi cafe. Llame a atencion al cliente y lo unico que hicieron fue enviar otro pedido. ni siquiera una disculpa o te daremos mas cafe por las molestias. Pesimo servicio!,21
Tengo una maquina Vertuo... es la peor experiencia digital... no puedo emparejarla con mi telefono porque es demasiado estupido para conectarse a mi wifi. no puedo entender la solucion de problemas en el libro con todas las luces elegantes pitando para indicarte que algo anda mal. .. quiero saber que tipo de*&%## funciona en el departamento de tecnologia... Por favor. gaste menos en George y mas en su recurso tecnologico. por el amor de Dios... Ya termine... Voy a volver a hacer cafe tradicional. con mi propia maquina... Nespresso puedes llevar tu maquina a tu ?%^&...,22
Vaya. ¿que puedo decir? La peor experiencia que he tenido con el servicio de atencion al cliente de Nespresso. Su sitio web decia que no se podia procesar un pedido. asi que lo rehice de inmediato. Al final me facturaron ambos pedidos. Los llame de inmediato y durante los siguientes cinco dias simplemente cancelaron uno de los pedidos duplicados (la experiencia mas frustrante jamas vivida) con varias promesas de que el pedido se cancelaria y hoy. por supuesto. el pedido que queria cancelar aun se entrego y no se reembolso. ha llegado. Estoy pensando en vender mi maquina Nespresso para no tener que volver a tratar con ellas nunca mas. Realmente ve a otra parte por tu maquina y tu cafe.,23
Compre una maquina de cafe Nespresso de unos buenos chicos en Midland en diciembre de 2022. El representante de ventas de Nespresso nos dio una demostracion del nuevo modelo. Fue muy amable y nos explico como obtendriamos un reembolso de $100 en efectivo despues de completar la solicitud. Esperamos un mes y Llame al servicio de atencion al cliente. quien nos aseguro que el dinero estaria en nuestra cuenta pronto. espero otro mes y aun no habia dinero. los llamo nuevamente y recibio una disculpa y le aseguraron que el pago se realizaria en 2 dias. Espere 2 meses y recibi otra disculpa. pero aun no recibi dinero. No puedo entender como a esta empresa se le permite estafar a la gente y salirse con la suya.,24
"Compramos una maquina Vertuo en julio (mas o menos) de 2021 a un minorista. Cuando al cabo de unos meses no funciono. llamamos al minorista y este nos aconsejo ir a Nespresso. Sin problema. Lamentablemente la maquina estaba defectuosa y fue devuelta y reemplazada directamente por Nespresso. Fue entonces cuando comenzo la ""diversion""... Cuatro maquinas mas tarde. todas defectuosas. y tuve que citar la Ley del Consumidor de Australia que decia que tenia derecho a un reembolso. Se negaron debido a que el original se compro a traves del minorista. Todo lo que queria era una declaracion que mostrara todos los reemplazos que nos habian entregado y que el minorista estuviera feliz de reembolsarme. No. no es tan facil. Nespresso se nego a proporcionarmelo y solicite las transcripciones para poder ir a la oficina de comercio justo. Ahora bien. ESE proceso era un campo minado por el que navegar. con resistencia en todos los lugares a los que iba. Finalmente recibi las transcripciones y luego una llamada telefonica. Me ofrecieron un reembolso. ¿Por que fue tan dificil? Nunca recomendaremos Nespresso y estaremos encantados de ofrecer nuestra experiencia a cualquiera que la solicite. El ultimo tipo con el que hablamos fue fabuloso y estaba increiblemente avergonzado. ¡Vamos Nespresso. mejora tu juego!",25
Absolutamente asqueroso. Soy cliente desde hace aproximadamente un ano y pago un promedio de alrededor de $200 por mes por las capsulas. Luego. la maquina se estropeo y sigue desbordandose. simplemente no se detiene cuando se supone que debe hacerlo. lo que hace que las capsulas de 80 ml superen los 400 ml a menos que se detenga manualmente. Entonces me comunique con su chat en linea y espere 30 minutos. me desconecte 3 veces. segui todos los pasos de solucion de problemas. pero la inutil persona de servicio llamada Noris me dijo que no reemplazarian la maquina. Entonces pedi cancelar mi cuenta porque no quiero pagar mas. Luego me interrumpio diciendo que no quiere hablar mas conmigo porque simplemente no me envian un reemplazo. Pedi que cancelaran mi cuenta nuevamente porque ya termine mi suscripcion. el se nego y luego me corto. ¡Que broma internacional de empresa!,26
Despues de muchos anos como cliente de Nespresso (ya sea en una de sus boutiques o mediante suscripcion). es hora de decir adios. Las semanas que pase intentando que me devolvieran el credito. hasta ahora. han resultado en nada. y no tengo confianza en Alguna vez obtendre ese credito. La desinformacion ha sido el tema recurrente. Siento que Nespresso ya no valora a sus clientes y. dado que su producto es el mas caro del mercado. eso es decepcionante.,27
El servicio al cliente es muy deficiente. Llame a su servicio de atencion al cliente porque mi maquina ya no funciona y aun esta en garantia hasta julio de 2023... Segui los pasos para solucionar el problema y finalmente. despues de mas de 30 minutos. me informaron que la reemplazarian y enviarian la etiqueta de devolucion por correo electronico. etc... despues de 2 semanas volvi a llamar porque no habia recibido la etiqueta de devolucion... y no fue mi sorpresa que la persona del otro lado quisiera volver a pasar por lo mismo conmigo a pesar de que le proporcione el numero de trabajo de Pasan 2 semanas. Solicite un supervisor y aparentemente un cliente no puede hacer eso. ¡Este es uno de los peores servicios jamas brindados por una empresa tan grande como esta!,28
Cobran a las personas por la entrega rapida y luego no se molestan en enviar el pedido. siempre es una incognita si el costoso servicio del mismo dia realmente se enviara el mismo dia. me he quedado sin capsulas una y otra vez. Esta vez. un amigo hizo un pedido hace una SEMANA para que Express estuviera aqui para mi cumpleanos....sorpresa. sorpresa. todavia no ha salido del almacen y mi cumpleanos es manana...Estoy tan harto del mal servicio. . despues de dos anos de esto. voy a deshacerme de mi maquina Nespresso y me ire a una empresa que sea confiable y fiel a su palabra.,29
Se registro para obtener una suscripcion de cafe. Los ultimos 4 pedidos seguidos han sido incorrectos. Un pedido me enviaron descafeinado en lugar de regular. el siguiente pedido fue completamente incorrecto. el siguiente pedido no llego y cuando llame a atencion al cliente me dijeron que el sistema habia perdido mi pedido. el siguiente pedido me cobraron dos veces por el mismo pedido. cuando plantearon el sobrepago y dijeron que el reembolso tardaria 7 dias. Les pedi hablar con un gerente. lo cual se negaron a hacer. afirmando que alguien del equipo de quejas me llamaria en un plazo de 48 horas. 48 horas despues y todavia estoy esperando... Cuando se equivocan en el pedido. esperan que te quedes sentado al telefono durante 30 minutos mientras organizan la devolucion del paquete. luego esperan que lleves el paquete a una oficina de correos. oficina y obtener un numero de seguimiento. luego debe volver a llamarlos para darles el numero de seguimiento. otro proceso de 30 minutos. Entonces y solo entonces le enviaran el pedido correcto.,30
Su servicio es pesimo. En primer lugar. me bloqueo el acceso a mi cuenta Nespresso sin ningun motivo y sin decirmelo. He buscado esto innumerables veces pero nadie puede ayudarme. darme una razon o incluso desbloquear mi cuenta. El segundo ano pasado hice un pedido. Nespresso tomo mi dinero pero de alguna manera perdi mi pedido porque no estaba en el sistema. . por lo que en realidad no llego ningun producto. Nuevamente tuve que buscar esto innumerables veces. pero como no habia ningun pedido en el sistema. era practicamente imposible obtener un reembolso. No ayuda. no hay una direccion de correo electronico para enviar mi prueba de que hice un pedido. Ahora me has perdido como cliente.,31
Despues de muchos intentos de arreglar mi maquina Nespresso. la devolvi sin descalcificador y el panel estaba sujeto. Nespresso equivale a cero servicio. cero comprension y cero compras a partir de ahora. Una experiencia de servicio al cliente tan decepcionante. NESPRESSO SOLÍA IGUALAR A GRANDES MÁQUINAS. EXCELENTE CAFÉ Y EXCELENTE SERVICIO QUE ERA DEMASIADO CARO. AHORA ES DEMASIADO PRECIO. EVITAR A TODA COSTA,32
Compre una maquina Nespresso para el Dia del Padre en septiembre. Recibi un correo electronico diciendo que la maquina fue entregada cuando en realidad solo eran capsulas. Tuve que hacer 2 llamadas y perder 1 hora en cada una para que me entregaran la maquina. Cuando abrimos la caja. el panel lateral de la maquina estaba entreabierto y el cableado quedo expuesto. No queria que mi padre lo usara porque puede ser peligroso. Entonces comenzo la saga... Les pedi que recogieran la maquina danada y me enviaran una nueva. Pase horas en su chat en linea cada vez que decian que se habia reservado la recogida y que nadie vendria a recogerla. Tampoco puedes dejar la maquina en la tienda mas cercana porque la compre online. Despues de tres semanas de espera. presente una disputa a traves de PayPal. Tuve que esperar 14 dias mas para que Nespresso respondiera. Durante ese tiempo. Nespresso cerro mi cuenta. No puedo acceder a ningun detalle de compra. Al final. PayPal me reembolso el coste. Ahora. Nespresso me envia correos electronicos todos los meses pidiendo que me devuelvan el dinero. No se que hacer.,33
Recientemente me registre para obtener una suscripcion a la maquina Vertuo Pop con Nespresso. Gran error. por dos motivos. El primero es que la maquina no es tan buena ni es facil trabajar con ella. Es bastante torpe y. a diferencia de sus videos promocionales. realmente necesitas ambas manos para bloquear una capsula (una para sostener la maquina y la otra para luego girar el increiblemente rigido cierre de la capsula). El segundo problema vino con el hecho de que la maquina esta defectuoso y gotea agua por debajo (esto parece ser un problema bastante comun). Nespresso se complace en organizar un reemplazo. pero. curiosamente. esperan que el consumidor asuma la responsabilidad total de su producto defectuoso y obtenga todo el embalaje correspondiente (caja del tamano adecuado. cinta adhesiva. plastico de burbujas. etc.) antes de llevarlo a la oficina de correos. Luego no lo enviaran. un reemplazo hasta que reciban este paquete cuidadosamente empaquetado. Si trabaja desde casa. preparese para esperar a que Nespresso reciba la maquina defectuosa y tosca. antes de que le envien otra maquina tosca y. con suerte. menos defectuosa.,34
Realice un pedido de 150 capsulas regulares para aprovechar la promocion especial. Luego intente cambiar la opcion de pago despues de que se proceso el pedido. Desafortunadamente. para mi rehice otro pedido segun el pedido original. Llame al servicio de atencion al cliente de Nespresso dentro de los 10 minutos posteriores a realizar el primer pedido para cancelarlo. Hable con una mujer de habla asiatica que me informo que no podia cancelar el pedido porque habia sido procesado y solo podia cancelarse una vez que hubiera recibido el envio. notificacion. Recibi la notificacion de envio a la manana siguiente y llame rapidamente al servicio de atencion al cliente y despues de 10 minutos de explicar por que queria cancelar el pedido (otra mujer asiatica). me dijeron que cancelaria el pedido y que recibiria un reembolso (solo el tiempo lo dira). . ¿No puedo creer que a los 10 minutos de realizar un pedido no puedas cancelarlo? No me impresiona porque he usado sus capsulas durante 15 anos. El precio ahora es muy caro y hay capsulas en los supermercados que son mas baratas y casi tan buenas. como Nespresso.,35
Estoy teniendo una experiencia terrible con Nespresso y quiero compartirla contigo para que evites la misma frustracion. Pague $180 por una suscripcion a una maquina de cafe. pero nunca la recibi. Mantuvieron mi pago y pedido pendiente durante una semana. Cuando le pregunte a Nespresso sobre mi pedido. no pudieron encontrar mi pago y me dijeron que pagara nuevamente. Me sorprendio porque ya habia pagado $180. Me comunique con Nespresso cuatro veces para obtener ayuda de su servicio de atencion al cliente. pero no solucionaron el problema. asi que tuve que pedir ayuda a la compania de mi tarjeta de credito. American Express. Pero en lugar de resolver el problema. Nespresso congelo mi cuenta. que tenia $150 en credito de una suscripcion de cafe anterior. Ahora me comunique con Nespresso SIETE veces (telefono y chat en vivo) y pase casi diez horas tratando de que corrigieran su error. . Como disculpa me enviaron dos fundas de cafe. que sin maquina de cafe no sirven. Por favor. aprendan de mi experiencia y alejense de Nespresso. Tratar con ellos ha sido una pesadilla frustrante y que requiere mucho tiempo. Su servicio al cliente es terrible y no parece preocuparse por sus clientes.,36
El servicio es deficiente y claramente hay un fallo en el modo de descalcificacion. El personal es como robots leyendo un guion. La maquina no sale del modo navegacion y para solucionarlo hay que enviarla fuera de servicio durante 2 o 3 semanas. Sin embargo. he visto a alguien pasar por el mismo proceso para que la maquina sea reemplazada. Este servicio no es lo suficientemente bueno si tiene que ver con programacion. seguramente hay una manera en que alguien con conocimientos reales puede solucionar este problema por telefono. Es evidente que hay un fallo en el modo de descalcificacion que debe solucionarse. No quiero pasar por un proceso de 2 a 3 meses que es la verdad lo que lleva. Para acabar estando en la misma posicion bajando la pista.,37
Arrogante y poco profesional en el mejor de los casos. Tuve una maquina Virtuo Next durante menos de 12 meses que literalmente dejo de funcionar. El servicio de atencion al cliente acordo reemplazarlo. sin embargo. la responsabilidad de hacerlo recae enteramente en el cliente. La maquina debe devolverse a traves de Aus Post siguiendo una lista de instrucciones de embalaje (como si estuviera empacando un producto nuevo). Desafortunadamente. no todos tenemos cajas de repuesto y plastico de burbujas disponibles. por lo que tuvimos que comprar el embalaje para devolver la maquina. solo una vez que haya presentado la devolucion en Aus Post y haya llamado a Nespresso con el numero de seguimiento. procesaran el reemplazo. Todo listo. un par de horas que nunca recuperaras. Si bien comprar el embalaje adecuado puede no ser un coste elevado. si tiene el principio de tener que pasar por un proceso laborioso para realizar la devolucion y recibir el reemplazo. Un proceso extremadamente complicado. una perdida importante de tiempo y coste en sustituir un producto defectuoso que deberia ser responsabilidad de Nespresso. No se puede defender un producto o negocio con un enfoque tan arrogante en la forma en que trata a sus clientes.,38
"El 'servicio' (sic) que brinda esta empresa es una broma. Nuestra maquina de un ano empezo a gritarnos hace dos semanas. 6 'charlas' y una hora perdida despues. ""Envianos un video"". Asi lo hice. sin respuesta. Cada ""agente/especialista en cafe"" LOL me hizo empezar desde cero y me dijo que descalcificara (otra vez). Debe ser un guion. Ahora quieren que les envie la maquina antes de que la reemplacen. 3-6 dias habiles desde la recepcion. Tal vez. Son ""solo un servicio de llamadas entrantes (sic)"". Nadie puede devolverle la llamada ni podra contactarlos nuevamente a traves del chat para obtener un formulario de queja. Es hora de una nueva empresa y cafe de supermercado. Yo tampoco les importo un carajo. pero al menos son sinceros al respecto.",39
EL PEOR SERVICIO AL CLIENTE DE TODOS. SON ABSOLUTAMENTE INÚTILES: 27 minutos en el telefono a la India y todavia no pude corregir un cambio de direccion.,40
Si pudiera calificar la experiencia con cero. lo haria. Intente pedir un poco de cafe para nuestra oficina a traves de la cuenta comercial de mi lugar de trabajo. Recibi un mensaje de error en el sitio web a pesar de que se realizo el cargo en mi tarjeta. Llame a la linea directa de negocios y la persona no pudo decirme si un pedido se proceso o no... Tuve que volver a llamar al dia siguiente. El chico que hablaba por telefono estaba muy inseguro de si mismo. Volvi a llamar al dia siguiente y hable con una senora nueva que tambien parecia muy insegura. Tuve que esperar OTRO dia antes de tener que volver a llamar. Finalmente. una mujer dijo que mi pedido no se habia realizado y en su lugar lo pedi por telefono. Me prometieron una confirmacion del pedido y que mi nombre y numero de telefono movil figurarian en la entrega para que estuviera listo para recogerlo a mi llegada. No recibo ninguna confirmacion del pedido. Sin numero de pedido. Fui a buscar mi pedido y estaba atascado en el area de recepcion. ¡No habia ningun nombre en el albaran de entrega y habia un numero de telefono movil aleatorio del que nunca habia oido hablar! Tampoco se incluyo ningun recibo. Honestamente. me sorprende que haya llegado el pedido. Nunca en mi vida habia experimentado un servicio al cliente tan lamentable. Mas que atroz en todos los sentidos. He trabajado en atencion al cliente toda mi vida y quede impactado. Las personas que contestan el telefono necesitan capacitacion inmediata en atencion al cliente. Entrenamiento basico de conversacion telefonica. Era como si ninguno de ellos pudiera encadenar una frase: tantos 'ums' y 'ahs' que te dejaban sin confianza. Nespresso deberia gastar mas dinero en formar a su personal telefonico porque es absolutamente nefasto. O contrate a un nuevo contratista para que contrate personal profesional de servicio al cliente. ¡Que drama pedir un cafe!,41
Pesimo servicio al cliente. hice una compra el 12 de septiembre de 2023. no hubo entrega despues de 13 dias. revise mi cuenta y ese no estaba registrado en el pedido. Tengo que comunicarme con ellos varias veces para rastrear mi pedido. cada vez que me lo dijeron. para contactarlos por chat en vivo. y su chat en vivo solo funciona una vez despues de intentarlo 5 veces en dias diferentes.,42
"""....Todos los especialistas en cafe estan atendiendo a otros clientes"" y lo han estado haciendo durante los 15 minutos antes de escribir esta resena. Mi recogida en tienda se ha ""perdido"". La tienda era bastante agradable y ofrecia un cafe. pero fue un viaje en vano.",43
Fui a la tienda de piedra Chadstone el sabado 16 de enero para comprar algunas capsulas y un joven encantador nos atendio. Terminamos comprando por un par de 100 dolares. Tan pronto como pagamos. el camarero fue a buscar una bolsa mas grande para nosotros y. mientras esperabamos. la gerente estaba ansiosa por deshacerse de nosotros y queria que nos fueramos antes de que empacaran nuestro producto y fue grosera e insistente. fuimos y nos paramos. la esquina o afuera. Lo unico que quieren es conseguir el dinero y echarnos. sin servicio al cliente ni etiqueta comun. Pesimo servicio!,44
